Present,Future,Aorist,Aorist_Passive
θύω ,θύσω,ἔθυσα,ἐτύθην
ἀγγέλλω,ἀγγελῶ,ἤγγειλα,ἠγγέλθην
ἄγω,ἄξω,ἤγαγον,ἤχθην
ἀδικέω,ἀδικήσω,ἠδίκησα,ἠδικήθην
αἱρέω,αἱρήσω,εἷλον,ᾑρέθην
αἰσθάνομαι,αἰσθήσομαι,ᾐσθόμην,
αἰτέω,αἰτήσω,ᾔτησα,
ἀκούω,ἀκούσομαι,ἤκουσα,ἠκούσθην
ἀναγκάζω,ἀναγκάσω,ἠνάγκασα,ἠναγκάσθην
ἀναχωρέω,ἀναχωρήσω,ἀνεχώρησα,
ἀποθνῄσκω,ἀποθανοῦμαι,ἀπέθανον,
ἀποκρίνομαι,ἀποκρινοῦμαι,ἀπεκρινάμην,
ἀποκτείνω,ἀποκτενῶ,ἀπέκτεινα,
ἄρχομαι,ἄρξομαι,ἠρξάμην,
ἄρχω,ἄρξω,ἦρξα,ἤρχθην
ἀφικνέομαι,ἀφίξομαι,ἀφικόμην,
βαίνω,βήσομαι,ἔβην,
βάλλω,βαλῶ,ἔβαλον,ἐβλήθην
βλάπτω,βλάψω,ἔβλαψα,ἐβλάφθην
βοάω,βοήσομαι,ἐβόησα,
βοηθέω,βοηθήσω,ἐβοήθησα,ἐβοήθην
βούλομαι,βουλήσομαι,ἐβουλήθην,
γελάω,γελάσομαι,ἐγέλασα,ἐγελάσθην
γίγνομαι,γενήσομαι,ἐγενόμην,
γιγνώσκω,γνώσομαι,ἔγνων,ἐγνώσθην
γράφω,γράψω,ἔγραψα,ἐγράφην
δακρύω,δακρύσω,ἐδάκρυσα,
δέχομαι,δέξομαι,ἐδεξάμην,
διαφθείρω,διαφθερῶ,διέφθειρα,διεφθάρην
διώκω,διώξω,ἐδίωξα,ἐδιώχθην
ἐθέλω,ἐθελήσω,ἠθέλησα,
εἰσβάλλω,εἰσβαλῶ,εἰσέβαλον,εἰσεβλήθην
ἐκφεύγω,ἐκφεύξομαι,ἐξεφυγον,ἐκπέφευγα
ἐλπίζω,ἐλπιῶ,ἤλπισα,ἠλπίσθην
ἕπομαι,ἕψομαι,ἑσπόμην,
ἔρχομαι,εἶμι,ἦλθον,
ἐρωτάω,ἐρωτήσω,ἠρόμην,
ἐσθίω,ἔδομαι,ἔφαγον,
εὑρίσκω,εὑρήσω,ηὗρον,ηὑρέθην
ἔχω,ἕξω/σχήσω,ἔσχον,
ζητέω,ζητήσω,ἐζήτησα,ἐζητήθην
θάπτω,θάψω,ἔθαψα,ἐτάφην
θαυμάζω,θαυμάσομαι,ἐθαύμασα,ἐθαυμάσθην
καθεύδω,καθευδήσω,ἐκάθευδον,
καθίζω,καθιῶ,ἐκάθισα,
καίω,καύσω,ἔκαυσα,ἐκαύθην
καλέω,καλῶ,ἐκάλεσα,ἐκλήθην
κελεύω,κελεύσω,ἐκέλευσα,ἐκελεύσθην
κλέπτω,κλέψω,ἔκλεψα,ἐκλάπην
κολάζω,κολάσω,ἐκόλασα,ἐκολάσθην
κόπτω,κόψω,ἔκοψα,ἐκόπην
κρύπτω,κρύψω,ἔκρυψα,ἐκρύφθην
