Present,Future,Aorist,Aorist_Passive
θυω,θυσω,ἐθυσα,ἐτυθην
ἀγγελλω,ἀγγελω,ἠγγειλα,ἠγγελθην
ἀγω,ἀξω,ἠγαγον,ἠχθην
ἀδικεω,ἀδικησω,ἠδικησα,ἠδικηθην
αἱρεω,αἱρησω,εἱλον,ᾑρεθην
αἰσθανομαι,αἰσθησομαι,ᾐσθομην,
αἰτεω,αἰτησω,ᾐτησα,
ἀκουω,ἀκουσομαι,ἠκουσα,ἠκουσθην
ἀναγκαζω,ἀναγκασω,ἠναγκασα,ἠναγκασθην
ἀναχωρεω,ἀναχωρησω,ἀνεχωρησα,
ἀποθνῃσκω,ἀποθανουμαι,ἀπεθανον,
ἀποκρινομαι,ἀποκρινουμαι,ἀπεκριναμην,
ἀποκτεινω,ἀποκτενω,ἀπεκτεινα,
ἀρχομαι,ἀρξομαι,ἠρξαμην,
ἀρχω,ἀρξω,ἠρξα,ἠρχθην
ἀφικνεομαι,ἀφιξομαι,ἀφικομην,
βαινω,βησομαι,ἐβην,
βαλλω,βαλω,ἐβαλον,ἐβληθην
βλαπτω,βλαψω,ἐβλαψα,ἐβλαφθην
βοαω,βοησομαι,ἐβοησα,
βοηθεω,βοηθησω,ἐβοηθησα,ἐβοηθην
βουλομαι,βουλησομαι,ἐβουληθην,
γελαω,γελασομαι,ἐγελασα,ἐγελασθην
γιγνομαι,γενησομαι,ἐγενομην,
γιγνωσκω,γνωσομαι,ἐγνων,ἐγνωσθην
γραφω,γραψω,ἐγραψα,ἐγραφην
δακρυω,δακρυσω,ἐδακρυσα,
δεχομαι,δεξομαι,ἐδεξαμην,
διαφθειρω,διαφθερω,διεφθειρα,διεφθαρην
διωκω,διωξω,ἐδιωξα,ἐδιωχθην
ἐθελω,ἐθελησω,ἠθελησα,
εἰσβαλλω,εἰσβαλω,εἰσεβαλον,εἰσεβληθην
ἐκφευγω,ἐκφευξομαι,ἐξεφυγον,ἐκπεφευγα
ἐλπιζω,ἐλπιω,ἠλπισα,ἠλπισθην
ἑπομαι,ἑψομαι,ἑσπομην,
ἐρχομαι,εἰμι,ἠλθον,
ἐρωταω,ἐρωτησω,ἠρομην,
ἐσθιω,ἐδομαι,ἐφαγον,
εὑρισκω,εὑρησω,ηὑρον,ηὑρεθην
ἐχω,ἑξω/σχησω,ἐσχον,
ζητεω,ζητησω,ἐζητησα,ἐζητηθην
θαπτω,θαψω,ἐθαψα,ἐταφην
θαυμαζω,θαυμασομαι,ἐθαυμασα,ἐθαυμασθην
καθευδω,καθευδησω,ἐκαθευδον,
καθιζω,καθιω,ἐκαθισα,
καιω,καυσω,ἐκαυσα,ἐκαυθην
καλεω,καλω,ἐκαλεσα,ἐκληθην
κελευω,κελευσω,ἐκελευσα,ἐκελευσθην
κλεπτω,κλεψω,ἐκλεψα,ἐκλαπην
κολαζω,κολασω,ἐκολασα,ἐκολασθην
κοπτω,κοψω,ἐκοψα,ἐκοπην
κρυπτω,κρυψω,ἐκρυψα,ἐκρυφθην
κταομαι,κτησομαι,ἐκτησαμην,ἐκτηθην
κωλυω,κωλυσω,ἐκωλυσα,ἐκωλυθην
λαμβανω,ληψομαι,ἐλαβον,ἐληφθην
λεγω,ἐρω/λεξω,εἰπον/ἐλεξα,ἐρρηθην/ἐλεχθην
λειπω,λειψω,ἐλιπον,ἐλειφθην
λυω,λυσω,ἐλυσα,ἐλυθην
μανθανω,μαθησομαι,ἐμαθον,
μαχομαι,μαχουμαι,ἐμαχεσαμην,
μελλω,μελλησω,ἐμελλησα,
μενω,μενω,ἐμεινα,
μισεω,μισησω,εμισησα,ἐμισηθην
νικαω,νικησω,ἐνικησα,ἐνικηθην
νομιζω,νομιω,ἐνομισα,
οἰκεω,οἰκησω,ᾠκησα,ᾠκηθην
ὁραω,ὀψομαι,εἰδον,ὠφθην
ὀργιζομαι,ὀργιουμαι,ὠργισθην,
παρασκευαζω,παρασκευασω,παρεσκευασα,παρεσκευασθην
παρεχω,παρεξω/παρασχησω,παρεσχον,
πασχω,πεισομαι,ἐπαθον,
παυομαι,παυσομαι,ἐπαυσαμην,
παυω,παυσω,ἐπαυσα,ἐπαυσθην
πειθομαι,πεισομαι,ἐπιθομην,
πειθω,πεισω,ἐπεισα/ἐπιθον,
πειραομαι,πειρασομαι,ἐπειραθην,
πεμπω,πεμψω,ἐπεμψα,ἐπεμφθην
πινω,πιομαι,ἐπιον,ἐποθην
πιπτω,πεσουμαι,ἐπεσον,
πιστευω,πιστευσω,ἐπιστευσα,
πλεω,πλευσομαι,ἐπλευσα,
ποιεω,ποιησω,ἐποιησα,εποιηθην
πορευομαι,πορευσομαι,ἐπορευθην,
πρασσω,πραξω,ἐπραξα,ἐπραχθην
προσβαλλω,προσβαλω,προσεβαλον,προσεβληθην
πυνθανομαι,πευσομαι,ἐπυθομην,
συλλεγω,συλλεξω,συνελεξα,συνελεχθην/συνελεγην
σῳζω,σωσω,ἐσωσα,
τιμαω,τιμησω,ἐτιμησα,ἐτιμηθην
τρεχω,δραμουμαι,ἐδραμον,
φαινομαι,φανουμαι,ἐφανην,
φερω,οἰσω,ἠνεγκα,ἠνεχθην
φευγω,φευξομαι,ἐφυγον,
φιλεω,φιλησω,ἐφιλησα,ἐφιληθην
φοβεομαι,φοβησομαι,ἐφοβηθην,
φονευω,φονευσω,ἐφονευσα,ἐφονευθην
φυλασσω,φυλαξω,ἐφυλαξα,ἐφυλαχθην
χραομαι,χρησομαι,ἐχρησαμην,
